listing litle,city,area,location,zone,location_hub,property_type,ownership,size_in_sqft,carpet_area_sqft,private_washroom,public_washroom,floor_no,total_floors,amenities_count,electric_charge_included,water_charge_included,property_age,possession_status,posted_by,lock in period,expected rent increases yearly,negotiable,brokerage,security_deposite,rent_price
showroom for rent,nagpur,besa,"besa, nagpur",south,commercial project,showroom,freehold,550 sqft,500 sqft,1,1,ground floor,2 floors,"water storage, internet, vastu, power backup, security, parking(6)",no,yes,5 years,ready to move,housing expert,12 months,,yes,no,150000,50000
showroom for rent,nagpur,hingna,"hingna, nagpur",east,commercial project,showroom,freehold,3500 sqft,3200 sqft,2,0,ground floor,8 floors,"water storage, vastu, internet, CCTV, power backup(6)",no,yes,6 years,ready to move,housing expert,12 months,5%,no,yes,3000000,350000
showroom for rent,nagpur,ganeshpeth colony,"ganeshpeth colony, nagpur",west,Market/ High Street,showroom,freehold,1300 sqft,1250 sqft,1,1,ground floor,3 floors,"DG, water storage, CCTV, vastu, food court, power backup, internet, parking(8)",yes,yes,2 years,ready to move,broker,6 months,10%,yes,yes,400000,120000
showroom for rent,nagpur,jaitala,"jaitala, nagpur",east,commercial project,showroom,freehold,2600 sqft,2600 sqft,1,1,"ground floor,1 floor",1 floor,"water storage, vastu, parking(3)",no,yes,,Under Construction,owner,3 months,10%,no,no,2000000,450000
showroom for rent,nagpur,sitabuldi,"sitabuldi,nagpur",south,commercial project,showroom,freehold,1600 sqft,1500 sqft,1,0,ground floor,1 floor,"water storage, CCTV(2)",no,yes,15 years,ready to move,owner,6 months,10%,yes,no,,160000
commercial property,nagpur,chatrapati nagar,"chatrapati nagar, nagpur",south,Retail Complex/ Building,showroom,freehold,1000 sqft,900 sqft,0,2,1 floor,4 floors,"CCTV, vastu, power backup, internet,parking(4)",no,yes,15 years,ready to move,owner,2 months,5%,yes,no,1200000,200000
showroom for rent,nagpur,gandhibag,"gandhibag, nagpur",west,commercial project,showroom,leasehold,550 sqft,550 sqft,1,1,ground floor,3 floors,"CCTV, vastu, security, parking(4)",no,yes,2 years,ready to move,owner,2 months,,yes,no,75000,16000
showroom for rent,nagpur,itwari,"itwari, nagpur",west,commercial project,showroom,leasehold,2100 sqft,1900 sqft,3,3,"1,2,3 floors",3 floors,"water storage, CCTV,vastu, power backup, security, internet(6)",no,yes,1 year,ready to move,broker,2 months,5%,yes,yes,900000,130000
showroom for rent,nagpur,kharbi,"kharbi, nagpur",west,Market/ High Street,showroom,freehold,950 sqft, 800 sqft,1,1,1 floor,3 floors,"water storage,CCTV, vastu, security,internet(5)",no,yes,12 years,ready to move,broker,12 months,,no,yes,400000,65000
showroom for rent,nagpur,manewada,"manewada, nagpur",south,others,showroom,freehold,1000 sqft,1000 sqft,2,0,2 floor,3 floors,parking(1),no,yes,4 years,ready to move,owner,10 months,,no,no,50000,50000
showroom for rent,nagpur,omkar nagar,"omkar nagar, nagpur",east,commercial project,showroom,cooperative society,1200 sqft,1152 sqft,1,1,ground floor,3 floors,"parking, water supply, CCTV, vastu, sqcurity(4)",no,yes,3 years,ready to move,broker,2 months,10%,yes,yes,300000,100000
godown for rent,nagpur,babulban,"babulban, nagpur",south,Residential Project,godown,freehold,1600 sqft,1600 sqft,1,1,ground floor,1 floor,"parking, vastu(2)",no,yes,2 years,ready to move,owner,,5%,yes,no,50000,18000
shop for rent,nagpur,mhalgi nagar,"mhalgi nagar, nagpur",south,Market/ High Street,shop,leasehold,250 sqft,150 sqft,1,1,ground floor,4 floors,0,no,yes,10 years,ready to move,owner,2 months,5%,no,no,,10000
shop for rent,nagpur,sitabuldi,"sitabuldi,nagpur",south,Market/ High Street,shop,leasehold,225 sqft,160 sqft,1,0,1 floor,1 floor,"water storage, CCTV, parking(3)",no,yes,,ready to move,owner,2 months,,no, no,120000,12000
shop for rent,nagpur,gandhibag,"gandhibag, nagpur",west,Retail Complex/ Building,shop,freehold,550 sqft, 250 sqft,1,1,ground floor,1 floor,security(1),no,yes,20 years,ready to move,owner,6  months,,yes,no,100000,40000
shop for rent,nagpur,besa,"besa, nagpur",west,commercial project,shop,freehold,250 sqft,250 sqft,1,1,ground floor,2 floors,"CCTV, vastu,parking(3)",no,yes,10 years,ready to move,broker,8  months,,yes,yes,,15000
ready to use office space,nagpur,besa,"besa, nagpur",south,commercial project,shop,leasehold,150 sqft,150 sqft,1,0,ground floor,1 floor,"cabin, meeting room, CCTV, vastu, security, internet,furnishing(7)",no,yes,5 years,ready to move,owner,4  months,,yes,no,,17000
ready to use office space,nagpur,mahal,"mahal, nagpur",south,Market/ High Street,shop,freehold,200 sqft,200 sqft,0,1,ground floor,2 floors,"CCTV, vastu, internet, parking(4)",no,yes,15 years,ready to move,owner,12 months,5%,yes,no,150000,25000
shop for rent,nagpur,sitabuldi,"sitabuldi,nagpur",east,Residential Project,shop,freehold,500 sqft,400 sqft,1,1,1 floor,2 floors,"parking, water storage, CCTV, power backup, internet(5)",yes,yes,3 years,ready to move,owner,6 months,10%,no,no,90000,15000
ready to use office space,nagpur,itwari,"itwari, nagpur",south,others,shop,freehold,2300 sqft,2000 sqft,1,1,1 floor,1 floor,"cabin,meeting room, staircases, water storage, vastu(5)",yes,yes,5 years,ready to move,owner,2 months,5%,no,no,70000,30000
ready to use office space,nagpur,jaitala,"jaitala, nagpur",south,IT Park,ready to use office,freehold,1000 sqft,785 sqft,1,1,1 floor,5 floors,"cabin, meeting room, water storage, CCVT, vastu, power backup, fire extinguishers, pantry, furnishing, parking(10)",no,yes,5 years,ready to move,broker,2 months,,yes,yes,120000,30000
ready to use office space,nagpur,hingna,"hingna, nagpur",south,Business Park,ready to use office,freehold,2500 sqft,2000 sqft,3,1,1 floor,3 floors,"water storage, reception area, parking, cebin, meeting room(5)",no,yes,5 years,ready to move,broker,6 months,,yes,yes,,55000
werehouse,nagpur,jaitala,"jaitala, nagpur",south,others,werehouse,leasehold,50000 sqft,15000 sqft,2,2,ground floor,1 floor,"CCTV ,power backup, security, furnishing(4)",no,yes,2 years,ready to move,broker,2 months,,yes,yes,600000,200000
werehouse,nagpur,omkar nagar,"omkar nagar, nagpur",south,Commercial Project,werehouse,leasehold,2400 sqft,2200 sqft,1,1,ground floor,1 floor,parking(1),no,yes,2 years,ready to move,broker,2 months,,yes,yes,500000,50000
werehouse,nagpur,mahal,"mahal, nagpur",west,Commercial Project,werehouse,power_of_attorney,900 sqft, 750 sqft,2,0,"1,2 floors",2 floors,"vastu, internet, parking(3)",no,yes,15 years,ready to move,owner,2 months,,yes,no,,40000
shop for rent,nagpur,kharbi,"kharbi, nagpur",south,commercial project,shop,freehold,300 sqft,230 sqft,1,1,ground floor,5 floors,"CCTV, internet, parking(3)",no,yes,15 years,ready to move,housing expert,6 months,10%,yes,yes,70000,23000
shop for rent,nagpur,sadar,"sadar, nagpur",south,commercial project,shop,freehold,550 sqft,350 sqft,0,1,1 floor,4 floors,"water storage, parking(2)",no,yes,12 years,ready to move,housing expert,1 month,10%,yes,yes,150000,25000
ready to use office space,nagpur,sakkardara,"sakkardara, nagpur",west,business park,ready to use office,cooperative society,1000 sqft,800 sqft,1,2,ground floor,2 floors,"parking, water storae, CCTV, power backup, internet, reception area, fire sensors, furnishing,lift (9)",no,yes,3 years,ready to move,owner,11 months,,,no,,35000
bare shell office space,nagpur,chatrapati nagar,"chatrapati nagar, nagpur",west,IT Park,bare shell office,freehold,2100 sqft,,1,0,8 floor,15 floors,"lift, parking, power backup, CCTV, vastu, pantry,DG and UPS (7)",no,yes,,ready to move,housing expert,1 month,5%,yes,yes,700000,130000
bare shell office space,nagpur,jaitala,"jaitala, nagpur",south,others,bare shell office,freehold,1500 sqft,,1,0,2 floor,3 floors,"DG and UPS , parking, staircases, CCTV, power backup, reception area, pantry (8)",no,yes,3 years,ready to move,housing expert,11 months,5%,yes,yes,150000,45000
bare shell office space,nagpur,omkar nagar,"omkar nagar, nagpur",north,others,bare shell office,freehold,1850 sqft,,1,0,2 floor,3 floors,"fire sefty, staircase (2)",no,yes,10 years,ready to move,owner,2 months,10%,,no,120000,40000
bare shell office space,nagpur,besa,"besa, nagpur",east,others,bare shell office,freehold,7500 sqft,,1,0,2 floor,7 floors,staircase(1),no,yes,30 years,ready to move,owner,1 month,,,no,,250000
bare shell office space,nagpur,manish nagar,"manish nagar , nagpur",south,commercial project,bare shell office,freehold,2300 sqft,,1,0,"1,2,3,4,GF",4 floors,"water storage, fire safety, lift, staricase , parking(5)",no,yes,,ready to move,owner,1 month,5%,yes,no,100000,100000
bare shell office space,nagpur,somalwada,"somalwada, nagpur",south,others,bare shell office,freehold,4000 sqft,,1,0,1 floor,4 floors,"DG and UPS, lift, staircase, water storage, CCTV, security, internet, pantry",no,yes,1 year,ready to move,owner,3 months,5%,yes,no,600000,160000
bare shell office space,nagpur,ganeshpeth colony,"ganeshpeth colony, nagpur",east,business park,bare shell office,freehold,330 sqft,,1,0,2 floor,6 floors,"lift, parking, water storage, CCTV, security, internate (6)",no,yes,20 years,ready to move,owner,3 months,,yes,no,70000,25000
bare shell office space,nagpur,mihan,"mihan, nagpur",west,others,bare shell office,leasehold,1200 sqft,,1,0,2 floor,2 floors,"parking, water storage, vastu, staircase , DG and UPS(5)",yes,yes,,Under Construction,owner,12 months,10%,yes,no,300000,50000
bare shell office space,nagpur,mihan,"mihan, nagpur",south,IT Park,bare shell office,freehold,15000 sqft,,1,0,"1 , GF floor",4 floors,"parking, lift, water storage, food court, security, panetry, furnishing (7)",no,yes,1 year,ready to move,broker,3 months,,yes,yes,,400000
bare shell office space,nagpur,jaitala,"jaitala, nagpur",south,others,bare shell office,leasehold,1200 sqft,,1,0,1 floor,2 floors,"parking, staircase,water storage (3)",no,yes,,Under Construction,owner,11 months,10%,yes,no,300000,60000
bare shell office space,nagpur,kharbi,"kharbi, nagpur",west,others,bare shell office,freehold,450 sqft,,1,0,2 floor,9 floors,"DG and UPS , parking, staircases, water storage, food court, power backup, security, fire extinghuishers(8)",no,yes,20 years,ready to move,owner,36 months,10%,yes,no,150000,40000
bare shell office space,nagpur,manewada,"manewada, nagpur",north,business park,bare shell office,power_of_attorney,3600 sqft,,1,0,1 floor,3 floors,"water supply, CCTV(2)",yes,yes,15 years,ready to move,owner,2 months,5%,yes,no,250000,80000
bare shell office space,nagpur,new indora,"new indora, nagpur",east,others,bare shell office,freehold,2000 sqft,,1,0,2 floor,4 floors,"lift , staircase, parking, water storage, CCTV, internet, fire extinguishers, pantry (8)",no,yes,3 years,ready to move,owner,3 months,5%,no,no,150000,50000
showroom for rent,nagpur,pratap nagar,"pratap nagar, nagpur",south,Retail Complex/ Building,showroom,freehold,900 sqft,750 sqft,1,1,1 floor,1 floor,"CCTV,food court,lift, parking(4)",no,yes,5 years,ready to move,housing expert,6 months,10%,yes,yes,450000,75000
ready to use office space,nagpur,pratap nagar,"pratap nagar, nagpur",south,others,ready to use office,freehold,600 sqft,500 sqft,2,1,1 floor,1 floor,"lift, cabin,metting room(3)",no,yes,6 years,ready to move,owner,2 months,5%,yes,no,60000,15000
shop for rent,nagpur,somalwada,"somalwada, nagpur",south,Retail Complex/ Building,shop,freehold,300 sqft,250 sqft,1,0,ground floor,2 floors,"parking, CCTV (2)",no,yes,5 years,ready to move,owner,12 months,10%,yes,no,25000,12000
commercial property,nagpur,sitabuldi,"sitabuldi,nagpur",south,others,commercial property,freehold,1250 sqft,1012 sqft,1,2,ground floor,2 floors,"water storage, parking(2)",no,yes,5 years,ready to move,housing expert,6 months,10%,yes,yes,40000,20000
ready to use office space,nagpur,pardi,"pardi, nagpur",south,IT Park,ready to use office,freehold,2000 sqft,1800 sqft,2,1,ground floor,2 floors,"water storage, internet,cabin,meeting rooms(4)",yes,yes,5 years,ready to move,owner,6 months,10%,no,no,30000,15000
shop for rent,nagpur,itwari,"itwari, nagpur",south,others,shop,freehold,200 sqft,180 sqft,1,0,ground floor,3 floors,"water storage,internet,vastu,CCTV(4)",no,yes,4 years,ready to move,broker,4 months,5%,yes,yes,40000,20000
commercial property,nagpur,dhantoli,"dhantoli, nagpur",west,Retail Complex/ Building,commercial property,freehold,8000 sqft,6000 sqft,2,3,"1, 2,3 floors",3 floors,"CCTV, food court,fire extinguisher, pantry, parking, lift , staircase(7)",no,yes,3 years,ready to move,housing expert,6 months,10%,yes,yes,200000,100000
showroom for rent,nagpur,ramdaspeth,"ramdaspeth, nagpur",east,commercial project,showroom,freehold,600 sqft,550 sqft,2,2,ground floor,2 floors,"water storage, internet,  power backup, security, parking(5)",no,yes,5 years,ready to move,owner,12 months,5%,yes,no,200000,60000
showroom for rent,nagpur,besa,"besa, nagpur",south,commercial project,showroom,freehold,3500 sqft,3200 sqft,2,0,ground floor,8 floors,"water storage, vastu, internet, CCTV, power backup(6)",no,yes,5 years,ready to move,housing expert,12 months,5%,no,yes,3000000,350000
showroom for rent,nagpur,mahal,"mahal, nagpur",west,Market/ High Street,showroom,freehold,1300 sqft,1250 sqft,1,1,ground floor,3 floors,"DG, water storage, CCTV, vastu, food court, power backup, parking(7)",yes,yes,4 years,ready to move,broker,6 months,10%,yes,yes,400000,100000
showroom for rent,nagpur,laxminagar,"laxminagar, nagpur",east,commercial project,showroom,freehold,2600 sqft,2600 sqft,1,1,"ground floor,1 floor",1 floor,"water storage, vastu, parking(3)",no,yes,4 years,Under Construction,owner,3 months,10%,no,no,2000000,450000
showroom for rent,nagpur,manewada,"manewada, nagpur",east,Market/ High Street,showroom,freehold,1600 sqft,1500 sqft,1,0,ground floor,1 floor,"water storage, CCTV, paarking(3)",no,yes,15 years,ready to move,owner,6 months,10%,yes,no,200000,160000
showroom for rent,nagpur,jaitala,"jaitala, nagpur",south,others,showroom,freehold,1000 sqft,900 sqft,0,2,1 floor,4 floors,"CCTV, vastu, power backup, internet,parking(4)",no,yes,15 years,ready to move,owner,2 months,5%,yes,no,120000,200000
showroom for rent,nagpur,gandhibag,"gandhibag, nagpur",east,others,showroom,leasehold,550 sqft,550 sqft,1,1,ground floor,3 floors,"CCTV, vastu, security, parking(4)",no,yes,2 years,ready to move,owner,2 months,5%,yes,no,75000,16000
showroom for rent,nagpur,ajni,"ajni, nagpur",south,commercial project,showroom,leasehold,2100 sqft,1900 sqft,3,3,"1,2,3 floors",3 floors,"water storage, CCTV,vastu, power backup, security, internet, parking(7)",no,yes,1 year,ready to move,broker,3 months,5%,yes,yes,900000,130000
showroom for rent,nagpur,nandanwan,"nandanwan, nagpur",south,Market/ High Street,showroom,freehold,950 sqft, 800 sqft,1,1,1 floor,3 floors,"water storage,CCTV, vastu, security,internet(5)",no,yes,12 years,ready to move,broker,10 months,5%,no,yes,400000,65000
showroom for rent,nagpur,ramdaspeth,"ramdaspeth, nagpur",east,Market/ High Street,showroom,freehold,1000 sqft,1000 sqft,2,1,2 floor,3 floors,"parking, vastu(2)",no,yes,4 years,ready to move,owner,4 months,10%,no,no,100000,50000
showroom for rent,nagpur,besa,"besa, nagpur",south,commercial project,showroom,cooperative society,1200 sqft,1152 sqft,1,1,ground floor,3 floors,"parking, water supply, CCTV, vastu, sqcurity(4)",no,yes,3 years,ready to move,broker,6 months,10%,yes,yes,300000,100000
godown for rent,nagpur,jaitala,"jaitala, nagpur",south,commercial project,godown,freehold,1600 sqft,1600 sqft,1,1,ground floor,1 floor,"parking, vastu(2)",no,yes,2 years,ready to move,owner,2 months,5%,yes,no,50000,18000
shop for rent,nagpur,dharampeth,"dharampeth,nagpur",east,Market/ High Street,shop,leasehold,250 sqft,150 sqft,1,1,ground floor,4 floors,"parking, vastu(2)",no,yes,10 years,ready to move,owner,2 months,5%,no,no,20000,10000
shop for rent,nagpur,omkar nagar,"omkar nagar, nagpur",south,others,shop,leasehold,225 sqft,160 sqft,1,0,1 floor,1 floor,"water storage, CCTV, parking(3)",yes,yes,5 years,ready to move,owner,4 months,5%,no, no,50000,12000
shop for rent,nagpur,mahal,"mahal, nagpur",west,Retail Complex/ Building,shop,freehold,550 sqft,400 sqft,1,1,ground floor,1 floor,"security, parking(2)",no,yes,20 years,ready to move,owner,6  months,5%,yes,no,100000,40000
shop for rent,nagpur,manish nagar,"manish nagar , nagpur",south,commercial project,shop,freehold,250 sqft,250 sqft,1,1,ground floor,2 floors,"CCTV, vastu,parking(3)",no,yes,5 years,ready to move,broker,8  months,10%,yes,yes,30000,15000
shop for rent,nagpur,ramdaspeth,"ramdaspeth, nagpur",south,commercial project,ready to use office,freehold,250 sqft,200 sqft,1,1,ground floor,1 floor,"cabin, meeting room, CCTV, vastu, security, internet,furnishing(7)",no,yes,5 years,ready to move,owner,4  months,5%,yes,no,40000,20000
ready to use office space,nagpur,omkar nagar,"omkar nagar, nagpur",south,commercial project,shop,freehold,200 sqft,200 sqft,0,1,ground floor,2 floors,"CCTV, vastu, internet, parking,staircase(5)",no,yes,10 years,ready to move,broker,12 months,5%,yes,yes,150000,25000
shop for rent,nagpur,dharampeth,"dharampeth,nagpur",east,Residential Project,shop,freehold,500 sqft,400 sqft,1,1,1 floor,2 floors,"parking, water storage, CCTV, power backup, internet(5)",no,yes,3 years,ready to move,owner,6 months,10%,no,no,90000,15000
ready to use office space,nagpur,manewada,"manewada, nagpur",south,others,shop,freehold,2300 sqft,2000 sqft,1,1,1 floor,1 floor,"cabin,meeting room, staircases, water storage, vastu(5)",no,yes,5 years,ready to move,owner,2 months,5%,no,no,70000,30000
